date_time,Allansford_maxtempC,Allansford_mintempC,Allansford_totalSnow_cm,Allansford_sunHour,Allansford_uvIndex,Allansford_uvIndex,Allansford_moon_illumination,Allansford_moonrise,Allansford_moonset,Allansford_sunrise,Allansford_sunset,Allansford_DewPointC,Allansford_FeelsLikeC,Allansford_HeatIndexC,Allansford_WindChillC,Allansford_WindGustKmph,Allansford_cloudcover,Allansford_humidity,Allansford_precipMM,Allansford_pressure,Allansford_tempC,Allansford_visibility,Allansford_winddirDegree,Allansford_windspeedKmph
2020-02-03 15:00:00,16,10,0.0,12.2,3,4,64,02:10 PM,12:06 AM,05:44 AM,07:43 PM,5,16,16,16,31,78,51,0.1,1018,16,10,197,27
2020-02-03 18:00:00,16,10,0.0,12.2,3,1,64,02:10 PM,12:06 AM,05:44 AM,07:43 PM,6,13,14,13,29,32,57,0.0,1020,14,10,182,22
2020-02-03 21:00:00,16,10,0.0,12.2,3,1,64,02:10 PM,12:06 AM,05:44 AM,07:43 PM,6,10,11,10,23,11,68,0.0,1021,11,10,167,14
2020-02-04 00:00:00,18,8,0.0,13.3,5,1,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,6,8,10,8,18,24,76,0.0,1022,10,10,150,9
2020-02-04 03:00:00,18,8,0.0,13.3,5,1,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,5,8,9,8,12,46,80,0.0,1022,9,10,115,5
2020-02-04 06:00:00,18,8,0.0,13.3,5,1,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,5,10,10,10,6,62,74,0.0,1023,10,10,89,3
2020-02-04 09:00:00,18,8,0.0,13.3,5,3,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,6,14,14,14,10,51,60,0.0,1023,14,10,135,9
2020-02-04 12:00:00,18,8,0.0,13.3,5,5,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,7,17,17,17,19,16,51,0.0,1022,17,10,166,17
2020-02-04 15:00:00,18,8,0.0,13.3,5,5,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,7,17,17,17,24,3,52,0.0,1021,17,10,168,21
2020-02-04 18:00:00,18,8,0.0,13.3,5,1,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,8,14,15,14,25,1,62,0.0,1021,15,10,163,19
2020-02-04 21:00:00,18,8,0.0,13.3,5,1,72,03:12 PM,12:39 AM,05:45 AM,07:42 PM,8,11,12,11,20,4,78,0.0,1022,12,10,149,12
2020-02-05 00:00:00,19,9,0.0,14.0,5,1,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,8,9,10,9,14,12,87,0.0,1022,10,10,134,7
2020-02-05 03:00:00,19,9,0.0,14.0,5,1,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,7,8,9,8,13,33,89,0.0,1021,9,10,115,6
2020-02-05 06:00:00,19,9,0.0,14.0,5,1,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,8,9,10,9,14,32,84,0.0,1022,10,10,104,8
2020-02-05 09:00:00,19,9,0.0,14.0,5,5,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,8,15,15,15,15,10,65,0.0,1022,15,10,127,12
2020-02-05 12:00:00,19,9,0.0,14.0,5,5,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,10,18,18,18,23,0,57,0.0,1021,18,10,154,20
2020-02-05 15:00:00,19,9,0.0,14.0,5,5,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,10,18,18,18,28,0,61,0.0,1020,18,10,161,25
2020-02-05 18:00:00,19,9,0.0,14.0,5,1,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,11,15,16,15,30,3,71,0.0,1020,16,10,153,23
2020-02-05 21:00:00,19,9,0.0,14.0,5,1,79,04:14 PM,01:18 AM,05:46 AM,07:41 PM,11,12,13,12,27,9,85,0.0,1021,13,10,139,18
2020-02-06 00:00:00,25,11,0.0,13.9,6,1,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,10,10,12,10,23,29,92,0.0,1021,12,10,127,13
2020-02-06 03:00:00,25,11,0.0,13.9,6,1,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,10,10,11,10,19,26,94,0.0,1020,11,5,124,10
